iter	Passed	Remaining
610	20831	13262
611	20841	13213
612	20850	13163
613	20862	13115
614	20876	13069
615	20887	13020
616	20896	12971
617	20909	12924
618	20921	12877
619	20933	12830
620	20946	12783
621	20959	12737
622	20970	12690
623	20978	12640
624	20985	12591
625	21003	12548
626	21011	12499
627	21019	12451
628	21028	12403
629	21047	12361
630	21079	12327
631	21090	12280
632	21101	12234
633	21142	12205
634	21153	12159
635	21165	12113
636	21173	12066
637	21190	12023
638	21215	11985
639	21229	11941
640	21240	11896
641	21251	11850
642	21263	11805
643	21279	11763
644	21299	11722
645	21314	11680
646	21326	11635
647	21338	11591
648	21348	11546
649	21358	11500
650	21367	11455
651	21379	11411
652	21393	11368
653	21403	11323
654	21413	11279
655	21423	11234
656	21433	11189
657	21443	11145
658	21452	11100
659	21467	11059
660	21483	11018
661	21498	10976
662	21513	10935
663	21525	10892
664	21540	10851
665	21554	10809
666	21566	10767
667	21578	10724
668	21592	10683
669	21604	10641
670	21621	10601
671	21634	10559
672	21645	10517
673	21655	10474
674	21665	10431
675	21677	10389
676	21686	10346
677	21697	10304
678	21706	10261
679	21716	10219
680	21727	10177
681	21741	10137
682	21755	10097
683	21768	10056
684	21781	10016
685	21793	9975
686	21803	9933
687	21816	9893
688	21827	9852
689	21837	9811
690	21848	9770
691	21859	9729
692	21873	9689
693	21887	9650
694	21899	9610
695	21915	9572
696	21924	9530
697	21937	9491
698	21950	9452
699	21958	9410
700	21968	9370
701	21976	9328
702	21986	9288
703	22003	9251
704	22015	9212
705	22027	9172
706	22036	9132
707	22046	9092
708	22056	9052
709	22064	9012
710	22075	8973
711	22085	8933
712	22094	8893
713	22102	8853
714	22111	8813
715	22120	8774
716	22129	8734
717	22138	8694
718	22145	8655
719	22154	8615
720	22166	8577
721	22174	8538
722	22184	8499
723	22194	8460
724	22206	8422
725	22215	8384
726	22223	8345
727	22235	8307
728	22244	8269
729	22253	8230
730	22261	8191
731	22271	8154
732	22280	8115
733	22295	8079
734	22305	8042
735	22314	8004
736	22322	7965
737	22332	7928
738	22341	7890
739	22350	7853
740	22360	7815
741	22371	7778
742	22380	7741
743	22387	7703
744	22400	7667
745	22407	7629
746	22416	7592
747	22425	7555
748	22434	7517
749	22442	7480
750	22451	7443
751	22458	7406
752	22465	7369
753	22473	7332
754	22481	7295
755	22488	7258
756	22496	7221
757	22504	7184
758	22513	7148
759	22521	7112
760	22529	7075
761	22536	7039
762	22546	7003
763	22554	6967
764	22563	6931
765	22570	6895
766	22578	6858
767	22588	6823
768	22596	6787
769	22605	6752
770	22613	6716
771	22622	6681
772	22630	6645
773	22639	6610
774	22647	6574
775	22655	6539
776	22664	6504
777	22673	6469
778	22684	6435
779	22693	6400
780	22701	6365
781	22710	6331
782	22717	6295
783	22724	6260
784	22732	6226
785	22742	6191
786	22749	6157
787	22758	6122
788	22766	6088
789	22772	6053
790	22783	6019
791	22791	5985
792	22800	5951
793	22808	5917
794	22816	5883
795	22825	5849
796	22834	5816
797	22844	5782
798	22854	5749
799	22863	5715
800	22871	5682
801	22879	5648
802	22886	5614
803	22894	5581
804	22901	5547
805	22911	5514
806	22920	5481
807	22930	5448
808	22938	5415
809	22947	5382
810	22953	5349
811	22962	5316
812	22970	5283
813	22980	5250
814	22987	5218
815	22994	5185
816	23001	5152
817	23010	5119
818	23016	5086
819	23024	5054
820	23033	5021
821	23041	4989
822	23050	4957
823	23060	4925
824	23071	4893
825	23079	4861
826	23086	4829
827	23093	4797
828	23103	4765
829	23112	4733
830	23119	4701
831	23126	4669
832	23135	4638
833	23142	4606
834	23152	4574
835	23159	4543
836	23167	4511
837	23176	4480
838	23185	4449
